Generation, Iteration, Trial, Vl_1, Vr_1, Vl_2, Vr_2, Vl_3, Vr_3, Vl_4, Vr_4, Fitness Value
1,1,22,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,62999412382914.13281
1,1,20,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,73012213889433.6875
1,1,4,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,64251947978724.99219
1,1,24,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,55478581965594.9375
1,1,16,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,73161251152578.9375
1,1,1,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,54894955455990.83594
1,1,13,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,46957686712191.5625
1,1,10,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,58860042425502.27344
1,1,7,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,64390986097571.60938
1,1,18,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,49131442427841.76562
1,1,5,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,83462099695718.6875
1,1,14,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,60458849427024.49219
1,1,23,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,85781915412670.98438
1,1,21,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,61213084956995.8125
1,1,11,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,60409923878829.58594
1,1,19,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,51868341363518.8125
1,1,8,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,59706735841423.40625
1,1,17,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,65979627017763.39062
1,1,2,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,58265945201119.9375
1,1,25,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,64458144414244.69531
1,1,15,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,43132440870495.45312
1,1,12,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,61013696198641.55469
1,1,6,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,67728620878459.875
1,1,9,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,58907882369175.17188
1,1,3,-0.432544,0.178632,-0.798496,-0.977101,0.403771,-0.5179,-0.600218,0.960861,52753880750806.59375
1,2,4,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,52726787150300.48438
1,2,13,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,46395168998588.79688
1,2,18,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,57590925464284.96094
1,2,10,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,64393892915879.23438
1,2,16,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,52915581124462.41406
1,2,22,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,63603155172319.86719
1,2,20,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,44127619288103.03125
1,2,7,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,70534692509126.03125
1,2,24,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,59484821336198.875
1,2,1,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,50471681740239.23438
1,2,5,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,61429924373570.27344
1,2,19,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,59696559973370.47656
1,2,17,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,60593100370858.03125
1,2,11,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,72580995407569.73438
1,2,8,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,63293486080905.51562
1,2,21,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,80786462893934.40625
1,2,14,-0.199503,-0.0323324,0.459213,-1.47976,-0.908406,0.0351901,0.0498162,-0.908924,54876484563749.9375
