Generation, Iteration, Trial,Vl_1, Vr_1,Vl_2, Vr_2,Vl_3, Vr_3,Vl_4, Vr_4,Vl_5, Vr_5,Vl_6, Vr_6,Vl_1, Vr_1,Vl_2, Vr_2,Vl_3, Vr_3,Vl_4, Vr_4,Vl_5, Vr_5,Vl_6, Vr_6,Fitness Value
1,1,33,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6930386161.288314819
1,1,13,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6608288946.259331703
1,1,43,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,5615801356.476488113
1,1,4,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,7193236457.299525261
1,1,45,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6749617251.124406815
1,1,35,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6125678305.364944458
1,1,22,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6340328146.906108856
1,1,49,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6535584066.452013016
1,1,10,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,5660880060.012022972
1,1,7,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,5353962271.72564888
1,1,39,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,4581143757.891896248
1,1,31,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,4835985257.640425682
