Generation, Iteration, Trial,Vl_1, Vr_1,Vl_2, Vr_2,Vl_3, Vr_3,Vl_4, Vr_4,Vl_5, Vr_5,Vl_6, Vr_6,Vl_1, Vr_1,Vl_2, Vr_2,Vl_3, Vr_3,Vl_4, Vr_4,Vl_5, Vr_5,Vl_6, Vr_6,Fitness Value
1,1,4,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,6293298288.64170742
1,1,7,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,5564679382.258727074
1,1,47,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,6267918609.642356873
1,1,39,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,6450351657.840967178
1,1,1,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,6296860165.065087318
1,1,10,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,5546966694.170928001
1,1,49,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,5188373150.045742989
1,1,19,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,6038622715.562555313
1,1,31,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,6517238542.474903107
1,1,41,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,6229994841.473092079
1,1,35,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,6608970496.573592186
1,1,43,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,7377348256.099446297
1,1,13,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,5749847756.343741417
1,1,16,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,6422409950.319561005
1,1,25,-2.03125,1.32641,0.557309,-0.567423,-0.64986,-0.0795822,-0.279898,-0.907504,-1.11215,-0.60029,0.425349,-0.10974,-0.156748,0.0607922,-0.891669,-0.0648331,0.209057,0.00472905,-1.27095,0.274468,0.110159,0.286475,-0.347917,0.561579,6117273146.040147781
