mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller A--------------------
-----------------------Scenario 1--------------------
-----------------------Noise Scenario 0--------------------
0,0.6,0,4010365048630.172363,0.733333,0.666667
0,0.6,0,1797246041731.221924,0.566667,0.5
0,0.6,0,3975402034245.25,0.733333,0.566667
0,0.6,0,3451902464880.037598,0.7,0.533333
0,0.6,0,3015062684487.125,0.733333,0.433333
0,0.6,0,2728240278313.564453,0.766667,0.666667
0,0.6,0,2453332633666.881348,0.533333,0.333333
0,0.8,0,25538854766648.36719,0.0333333,0
0,0.8,0,21523249203958.96875,0.0333333,0
0,0.8,0,23989932022120.69141,0.0666667,0
0,0.8,0,34506119315026.96875,0.1,0
0,0.8,0,22488006643017.34766,0.0333333,0
0,0.8,0,29737623620998.67188,0.166667,0
0,0.8,0,27831614599719.50391,0.0666667,0
0,0.8,0,24218009320302.06641,0.0666667,0
0,0.8,0,21491177043392.86719,0.0666667,0
0,0.8,0,27540377548564.83984,0.0333333,0
0,0.8,0,20927252315488.07031,0.1,0
0,0.8,0,22279276963438.03516,0.0333333,0
0,0.8,0,40676532666274.80469,0.0333333,0
0,0.8,0,19298718029465.42969,0.0333333,0
0,0.8,0,20027233234871.74609,0.0333333,0
0,0.8,0,16340275500463.39648,0.1,0
0,0.8,0,14256486720773.1582,0.1,0
0,0.8,0,8745116822003.710938,0.0666667,0
0,0.8,0,18007039290397.97656,0.0666667,0
0,0.8,0,16808827730321.16211,0.0333333,0
0,0.8,0,35993488730219.64062,0.1,0
0,0.8,0,26000852951143.01562,0.0666667,0
0,0.8,0,29696191465466.14844,0.1,0
0,0.8,0,20326013649472.01953,0.1,0
0,0.8,0,24360306962528.66797,0.0333333,0
0,1,0,45047396596036.25781,0.0333333,0
0,1,0,21308809178695.16016,0.1,0
0,1,0,34992372659397.625,0.133333,0
0,1,0,19499928385893.45703,0.1,0
0,1,0,49506369323122.5625,0.0666667,0
0,1,0,18199765329599.66016,0.0666667,0
0,1,0,17469931695818.64648,0.0666667,0
0,1,0,13331809476893.61133,0.0666667,0
0,1,0,21827238358493.16016,0.0333333,0
0,1,0,22766400410233.07031,0,0
0,1,0,29398616170757.33594,0.0666667,0
0,1,0,21853154548693.09766,0.0666667,0
0,1,0,30322614637088.53906,0.1,0
0,1,0,28829458801665.39062,0.1,0
0,1,0,19091900498803.07812,0.0333333,0
0,1,0,26555393902238.1875,0.0666667,0
0,1,0,18815040280642.66406,0.0333333,0
0,1,0,17741242485479.82422,0.133333,0
0,1,0,16278290449743.77539,0.0666667,0
0,1,0,11267952090006.32422,0.0333333,0
0,1,0,35248280513992.14844,0.0333333,0
0,1,0,41477910618032.28125,0.0333333,0
0,1,0,9223578437650.765625,0.0333333,0
0,1,0,26459774042666.75781,0.1,0
0,1,0,28203920858854.99609,0.0333333,0
-----------------------Noise Scenario 1--------------------
0,0,1,124101132394.2975464,1,0.966667
0,0,1,115332198424.5526581,1,1
