mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller A--------------------
-----------------------Scenario 1--------------------
-----------------------Noise Scenario 0--------------------
0,0.6,0,11851915251652.50391,0.0666667,0
0,0.6,0,3254365508837.569336,0.833333,0.433333
0,0.6,0,3166267067370.511719,0.8,0.633333
0,0.6,0,3466498628688.227539,0.8,0.5
0,0.6,0,2729721677625.667969,0.766667,0.633333
0,0.6,0,3448008934069.773926,0.7,0.633333
0,0.8,0,20267455833960.76953,0.0666667,0
0,0.8,0,37258230909887.58594,0.0333333,0
0,0.8,0,37169078852568.05469,0.0333333,0
0,0.8,0,21748265893485.92188,0.1,0
0,0.8,0,19109710989379.69141,0.133333,0
0,0.8,0,19248442268761.20312,0.0666667,0
0,0.8,0,15317850038964.64062,0.0666667,0
0,0.8,0,20778899889200.86328,0.0333333,0
0,0.8,0,21670952746785.64844,0.133333,0
0,0.8,0,12023011132801.18555,0.1,0
0,0.8,0,27776025028139.04297,0.0666667,0
0,0.8,0,29803808674488.92188,0.0333333,0
0,0.8,0,23629288819547.41016,0.0666667,0
0,0.8,0,24280147646102.00391,0.1,0
0,0.8,0,29427347201471.57422,0.0666667,0
0,0.8,0,24464052807692.94922,0.133333,0
0,0.8,0,52877317000069.32812,0.1,0
0,0.8,0,16560676438309.41211,0.0333333,0
0,0.8,0,19664261619411.44141,0.1,0
0,0.8,0,29743466240549.26562,0.0333333,0
0,0.8,0,25783550508557.69531,0.0333333,0
0,0.8,0,26775275755073.77734,0.0333333,0
0,0.8,0,35628741109493.21875,0.0333333,0
0,0.8,0,24987170843928.15625,0.133333,0
0,0.8,0,28448491431994.88672,0.1,0
0,1,0,24158226043003.41406,0.1,0
0,1,0,17965838557288.5,0.0666667,0
0,1,0,16440844292902.92578,0.0666667,0
0,1,0,15215311123746.3418,0.0666667,0
0,1,0,13030233177884.42188,0.0333333,0
0,1,0,23118493932067.89453,0.0333333,0
0,1,0,30380706934420.89453,0.133333,0
0,1,0,23495876420915.23828,0.0333333,0
0,1,0,29200146664143.48828,0.0666667,0
0,1,0,15744652137861.65039,0.0333333,0
0,1,0,20013282390450.60547,0.133333,0
0,1,0,23151086124447.92969,0.0333333,0
0,1,0,15391867921951.50391,0.0666667,0
0,1,0,26448218654953.80469,0.0333333,0
0,1,0,20968593316132.73047,0.0666667,0
0,1,0,19022935256007.70703,0.0666667,0
0,1,0,12616850952401.53906,0.0666667,0
0,1,0,11888362211631.47656,0.0333333,0
0,1,0,13030448613259.25977,0.0333333,0
0,1,0,14254412963468.44531,0.1,0
0,1,0,16847419999536.88867,0.0666667,0
0,1,0,38649902902430.4375,0.0666667,0
0,1,0,42025802357913.44531,0.0333333,0
0,1,0,37993289964568.24219,0.0666667,0
0,1,0,23215342231274.07422,0.0333333,0
-----------------------Noise Scenario 1--------------------
0,0,1,120848304581.2132874,1,1
0,0,1,104040829379.5621948,1,1
0,0,1,92194315387.36123657,1,1
0,0,1,98768248992.43774414,1,1
0,0,1,113942901049.8144989,1,0.966667
0,0,1,99248459805.18096924,1,1
0,0,1,84447903427.08377075,1,0.933333
0,0,1,132814636377.5468292,1,1
0,0,1,115730794731.2460022,1,1
0,0,1,111272720928.5086365,1,1
0,0,1,97117630007.56808472,1,1
0,0,1,215067194118.9871216,1,0.966667
0,0,1,90679715998.71717834,1,1
0,0,1,92162150323.03233337,1,0.933333
0,0,1,106547878261.5241089,1,0.933333
0,0,1,102410336159.7613068,1,1
0,0,1,85766610972.71899414,1,1
0,0,1,124731614412.4751434,1,0.966667
0,0,1,121053464233.0032501,1,0.966667
0,0,1,99847553372.77354431,1,1
0,0,1,97847722390.38484192,1,0.966667
0,0,1,118092972186.6342621,1,1
0,0,1,95607588099.79086304,1,1
0,0,1,123708864782.3612518,1,0.966667
0,0,1,95634571395.65524292,1,0.966667
0,0.2,1,149666972440.7875366,1,1
0,0.2,1,171058773710.8655701,1,0.933333
0,0.2,1,164748272046.668396,1,1
0,0.2,1,155303128179.8151855,1,1
0,0.2,1,141041380540.9561462,1,0.9
0,0.2,1,192186685199.3084717,1,0.933333
0,0.2,1,139602301624.862793,1,0.8
0,0.2,1,126003410310.2608795,1,1
0,0.2,1,137106225777.3417511,1,0.966667
0,0.2,1,128836677979.5239563,1,0.866667
0,0.2,1,159145098816.5871277,1,1
0,0.2,1,157906539732.6455383,1,1
0,0.2,1,130391649149.2344971,1,1
0,0.2,1,128506323675.2207794,1,1
0,0.2,1,141809761384.0483704,1,1
0,0.2,1,154863352932.5859985,1,1
0,0.2,1,143505272942.7541504,1,1
0,0.2,1,126609542457.6049347,1,1
0,0.2,1,154002036313.977417,1,0.966667
0,0.2,1,158640587066.2331238,1,0.966667
0,0.2,1,135473751937.54776,1,0.966667
0,0.2,1,159135624185.2549133,1,0.833333
0,0.2,1,134061407144.9120636,1,0.966667
0,0.2,1,134684650514.05336,1,0.9
0,0.2,1,138857606455.0482178,1,0.6
0,0.4,1,166296243120.5262146,1,0.933333
0,0.4,1,157321255684.9684753,1,0.833333
0,0.4,1,193372605365.9395447,1,0.866667
0,0.4,1,154532297408.0635376,1,0.966667
0,0.4,1,131297667132.2061005,1,0.966667
0,0.4,1,136031330222.1227722,1,0.933333
0,0.4,1,159920853743.6161804,1,0.966667
0,0.4,1,162403367469.2310486,1,1
0,0.4,1,200912531323.7940369,1,1
0,0.4,1,256738786866.8310242,0.566667,0.466667
0,0.4,1,209394323893.9410706,1,1
0,0.4,1,159791090503.0098877,1,0.966667
0,0.4,1,154502206132.0126648,1,0.966667
0,0.4,1,187693488916.2300415,1,0.8
0,0.4,1,199128174677.2146301,1,0.966667
0,0.4,1,143444379200.3383484,1,0.966667
0,0.4,1,185450585639.3762207,1,0.933333
0,0.4,1,173386641511.6437988,1,0.933333
0,0.4,1,233370760960.4935913,0.6,0.5
0,0.4,1,175824443497.5436401,1,0.933333
0,0.4,1,167096021540.8084717,1,0.966667
0,0.4,1,264416249343.8019409,0.566667,0.366667
0,0.4,1,242220260414.0341187,0.6,0.5
0,0.4,1,168225066074.875,1,0.933333
0,0.4,1,239809949211.8965454,0.633333,0.433333
0,0.6,1,158641265303.3848877,1,1
0,0.6,1,190209739003.8704834,1,0.9
0,0.6,1,265703478203.1066589,1,1
0,0.6,1,156193927067.248291,1,0.966667
0,0.6,1,166274879670.082489,1,0.833333
0,0.6,1,197259471992.1852722,1,0.933333
0,0.6,1,201979917529.5692749,1,0.933333
0,0.6,1,236679963313.105011,0.633333,0.433333
0,0.6,1,255489115766.872406,0.566667,0.466667
0,0.6,1,238674382520.598999,0.566667,0.433333
0,0.6,1,250196161578.0164185,0.566667,0.366667
0,0.6,1,180031194595.8598328,1,0.966667
0,0.6,1,166431851676.1412964,1,0.966667
0,0.6,1,265354037952.5005798,1,0.766667
0,0.6,1,233835561423.1582031,1,0.9
0,0.6,1,186691237110.2688599,1,1
0,0.6,1,186769262120.8147278,1,0.966667
0,0.6,1,170126399642.3963013,1,0.933333
0,0.6,1,234082626185.4891357,0.566667,0.466667
0,0.6,1,185014228894.3601685,1,0.866667
0,0.6,1,166413520713.6502686,1,0.966667
0,0.6,1,148999758965.965271,1,1
0,0.6,1,179818347956.1136169,1,0.833333
0,0.6,1,161458397783.2032776,1,1
0,0.6,1,176432322974.1904297,1,0.766667
0,0.8,1,329739665945.006958,1,0.433333
0,0.8,1,328537521620.4320679,1,0.9
0,0.8,1,220253175193.6354675,1,0.833333
0,0.8,1,269099809301.9561157,1,0.966667
0,0.8,1,388911825706.9664307,1,0.866667
0,0.8,1,296483460476.7010498,1,0.933333
0,0.8,1,443411783233.1553345,1,0.866667
0,0.8,1,405263244020.1916504,1,0.866667
0,0.8,1,369396853076.1513062,1,0.833333
0,0.8,1,253819444360.1390991,0.6,0.433333
0,0.8,1,242240517732.5836182,1,0.866667
0,0.8,1,624363996751.5574951,1,0.833333
0,0.8,1,418963648299.8751831,1,0.833333
0,0.8,1,343844567224.6252441,1,0.833333
0,0.8,1,418602934265.7550049,1,0.866667
0,0.8,1,371153455503.4251099,1,0.7
0,0.8,1,358440070388.1570435,1,0.9
0,0.8,1,226589647971.0751038,1,0.966667
0,0.8,1,476839623445.3720093,1,0.566667
0,0.8,1,446065679912.4264526,0.0333333,0
0,0.8,1,282389110238.1365356,1,0.9
0,0.8,1,446016378842.0373535,1,0.966667
0,0.8,1,384531451062.600708,1,0.933333
0,0.8,1,547478730369.722168,1,0.566667
0,0.8,1,275907629605.6087646,1,0.633333
0,1,1,531089642075.0541992,1,0.566667
0,1,1,287391654586.84729,1,0.566667
0,1,1,441077978465.72052,1,0.966667
0,1,1,400083388003.713501,1,0.9
0,1,1,308082194896.8317261,1,0.866667
0,1,1,481332502328.3660278,1,0.966667
0,1,1,428165130753.249939,1,0.466667
0,1,1,326184072207.8172607,1,0.866667
0,1,1,549727029831.6471558,1,0.233333
0,1,1,264834329125.4108276,1,0.933333
0,1,1,495341306612.5770264,1,0.966667
0,1,1,572660393602.5391846,0.966667,0.933333
0,1,1,447499228968.0967407,0.966667,0.933333
0,1,1,616209707256.4228516,1,0.7
0,1,1,615391201848.5805664,0.966667,0.366667
0,1,1,745800495137.1181641,1,0.4
0,1,1,394132549416.758606,1,0.933333
0,1,1,246454308144.8626404,1,0.866667
0,1,1,532045779744.3909302,1,0.966667
0,1,1,373962301170.564209,1,0.266667
0,1,1,228492551866.1976624,1,0.933333
0,1,1,218304121133.931427,1,0.9
0,1,1,369986499508.2900391,1,0.566667
0,1,1,466002332656.0167236,1,0.933333
0,1,1,265561862940.7272644,1,1
-----------------------Noise Scenario 3--------------------
0,0,3,214976451269.5978699,1,0.966667
0,0,3,139834551254.895813,1,1
0,0,3,235090010936.7575989,1,0.933333
0,0,3,100469468129.8323975,1,1
0,0,3,99021594190.6275177,1,1
0,0,3,88127869729.16467285,1,1
0,0,3,84728595410.29910278,1,1
0,0,3,92573281071.58364868,1,0.966667
0,0,3,158279099367.2965088,1,1
0,0,3,123846382721.2253876,1,1
0,0,3,99207154393.96432495,1,1
0,0,3,86218517852.5533905,1,0.7
0,0,3,104569872285.1967926,1,0.966667
0,0,3,114876019022.5249481,1,1
0,0,3,105343991056.1130676,1,0.9
0,0,3,98304743319.22579956,1,0.866667
0,0,3,103491309786.6147003,1,1
0,0,3,78830159181.67422485,1,1
0,0,3,83703104466.26605225,1,1
0,0,3,128122289191.3592529,1,0.9
0,0,3,99251714519.6647644,1,1
0,0,3,86719328917.17480469,1,1
0,0,3,100100188579.9608917,1,0.966667
0,0,3,117086956012.5721283,1,0.966667
0,0,3,125578236397.3189392,1,1
0,0.2,3,114487516695.1924744,1,1
0,0.2,3,125742490366.5781555,1,0.933333
0,0.2,3,121146716578.2589569,1,1
0,0.2,3,152441546873.2125854,1,1
0,0.2,3,150338477161.8917542,1,0.966667
0,0.2,3,112149437076.0376129,1,0.933333
0,0.2,3,115180161376.8370514,1,0.933333
0,0.2,3,112641068587.9351501,1,0.8
0,0.2,3,133652793197.9176941,1,0.966667
0,0.2,3,111290645302.4264832,1,1
0,0.2,3,122841706417.8472748,1,1
0,0.2,3,123725900793.7553711,1,1
0,0.2,3,137283934760.2021027,1,0.966667
0,0.2,3,181645975519.26651,1,1
0,0.2,3,115794745624.1702423,1,0.966667
0,0.2,3,178171754790.5014343,1,1
0,0.2,3,83855888799.83520508,1,0.966667
0,0.2,3,89804669204.53265381,1,1
0,0.2,3,89939687170.03292847,1,1
0,0.2,3,100214972778.1790619,1,1
0,0.2,3,95202479308.59112549,1,1
0,0.2,3,101215919769.404953,1,1
0,0.2,3,113300273859.8261261,1,0.966667
0,0.2,3,90961158721.90559387,1,0.933333
0,0.2,3,91364640287.40614319,1,1
0,0.4,3,122976352016.4420471,1,1
0,0.4,3,122486734096.0605469,1,1
0,0.4,3,107919802225.2739716,1,1
0,0.4,3,133225825060.8744049,1,0.966667
0,0.4,3,139352017464.1006775,1,1
0,0.4,3,124438157970.1927185,1,1
0,0.4,3,163997783118.3430176,1,0.833333
0,0.4,3,116770379770.473465,1,0.8
0,0.4,3,152664239572.9642334,1,1
0,0.4,3,87362046458.50068665,1,0.9
0,0.4,3,133370828458.2681274,1,0.966667
0,0.4,3,151934205205.8902283,1,1
0,0.4,3,115222853291.2190399,1,0.766667
0,0.4,3,108719410818.9116516,1,1
0,0.4,3,117566920317.0286713,1,0.833333
