SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,
227.479,196.977,94.886,195.997,291.004,199.012,213.031,49.9734,198.968,68.8817,24.0441,171.843,110.44,64.0047,147.147,125.896,177.724,64.9679,46.9203,42.0168,13.2423,98.5224,78.5558,39.4746,280.23,167.639,
227.422,196.972,94.9346,195.992,290.809,199.011,212.837,49.9718,198.865,68.7238,23.8731,171.801,110.352,64.0097,147.226,125.911,177.605,64.9511,46.8926,42.0176,13.6034,98.5645,78.911,39.5153,280.382,167.4,
227.453,196.976,94.8924,195.995,290.618,199.011,212.644,49.9702,198.759,68.5603,23.947,171.819,110.315,64.013,147.289,125.921,177.654,64.959,46.8658,42.0183,13.9739,98.6096,79.2798,39.5593,280.524,167.155,
227.516,196.982,94.7782,196.002,290.418,199.011,212.451,49.9681,198.654,68.3999,23.8902,171.806,110.303,64.0142,147.22,125.912,177.643,64.9575,46.8396,42.019,14.3372,98.6549,79.6498,39.6048,280.654,166.911,
227.446,196.976,94.6494,196.01,290.226,199.011,212.258,49.9659,198.545,68.2344,23.7759,171.782,110.159,64.028,147.06,125.895,177.584,64.9516,46.8135,42.0197,14.6963,98.7025,80.0231,39.6522,280.781,166.652,
227.394,196.971,94.5309,196.018,290.039,199.012,212.067,49.9639,198.44,68.0734,23.8371,171.795,110.133,64.0311,147.004,125.89,177.454,64.9381,46.7882,42.0204,15.0554,98.753,80.3875,39.7001,280.895,166.393,
227.475,196.975,94.6105,196.014,289.848,199.012,211.88,49.9619,198.338,67.9158,23.7839,171.784,110.003,64.0504,147.054,125.894,177.587,64.9538,46.7636,42.021,15.4162,98.8061,80.7557,39.7508,280.998,166.133,
227.388,196.972,94.4349,196.027,289.654,199.012,211.686,49.9597,198.234,67.7565,23.8439,171.796,110.015,64.0484,146.907,125.879,177.575,64.9524,46.7407,42.0217,15.7832,98.8617,81.129,39.8035,281.092,165.867,
227.393,196.972,94.4701,196.024,289.466,199.013,211.501,49.9574,198.131,67.5986,23.9202,171.812,110.027,64.0464,147.015,125.891,177.486,64.9404,46.7169,42.0224,16.1539,98.9195,81.4841,39.8551,281.175,165.6,
227.428,196.975,94.3955,196.035,289.269,199.013,211.34,49.9563,198.109,67.5636,23.8962,171.808,110.04,64.0442,146.96,125.885,177.444,64.9333,46.6946,42.023,16.5184,98.978,81.8369,39.9085,281.249,165.323,
227.34,196.966,94.2662,196.056,289.076,199.012,211.33,49.9562,198.103,67.5534,23.7972,171.793,110.052,64.0422,146.871,125.875,177.27,64.9035,46.672,42.0237,16.8701,99.0362,82.1961,39.9649,281.312,165.046,
227.267,196.96,94.1779,196.072,288.879,199.012,211.332,49.9563,198.097,67.5432,23.7727,171.789,110.063,64.0401,146.905,125.878,177.183,64.8904,46.6501,42.0243,17.2425,99.099,82.5649,40.0248,281.363,164.771,
227.314,196.964,94.1788,196.072,288.695,199.011,211.381,49.9594,198.03,67.4463,23.6698,171.775,110.076,64.0378,146.746,125.871,177.171,64.8887,46.6285,42.025,17.5999,99.1611,82.9263,40.0841,281.405,164.495,
