mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller --------------------,,,,,
-----------------------Scenario 1--------------------,,,,,
-----------------------Noise Scenario 2--------------------,,,,,
3,1,2,22472226420002.9,0,0
3,1,2,27181104304649.8,0.0333333,0
3,1,2,15883919397021.2,0.0333333,0
3,1,2,38263108915017.4,0.0333333,0
3,1,2,32139441322448.2,0.0666667,0
3,1,2,30524632758688.8,0,0
3,1,2,19867241925737,0,0
3,1,2,20402600774622.3,0.0333333,0
3,1,2,28267553464092.7,0.0666667,0
3,1,2,20181210184045.6,0.0333333,0
3,1,2,29181910846307.8,0.0666667,0
3,1,2,16432577276885,0,0
3,1,2,26607102723279,0,0
3,1,2,15882453700548.2,0,0
3,1,2,41837023187452.4,0.0333333,0
3,1,2,9793663673335.28,0.0333333,0
-----------------------Noise Scenario 3--------------------,,,,,
3,0,3,746142949530.127,1,0.933333
3,0,3,839421110436.904,0.966667,0.766667
3,0,3,720216205164.251,0.966667,0.866667
3,0,3,938808446253.58,1,0.833333
3,0,3,500288569563.522,0.966667,0.833333
3,0,3,765310336512.671,1,0.8
3,0,3,759518140111.586,0.966667,0.9
3,0,3,505991468545.736,1,0.9
3,0,3,434488063107.048,1,0.966667
3,0,3,604944541033.188,0.966667,0.933333
3,0,3,671598698555.742,0.966667,0.866667
3,0,3,748729843858.933,0.966667,0.866667
3,0,3,555375481511.128,0.966667,0.9
3,0,3,352988050250.368,0.966667,0.866667
3,0,3,608116111808.318,1,0.9
3,0,3,896273305827.738,1,0.9
3,0,3,695960584477.897,0.966667,0.933333
3,0,3,481277115557.91,0.966667,0.766667
3,0,3,694229071848.566,0.966667,0.666667
3,0,3,476657695057.876,1,0.666667
3,0,3,664695789943.731,1,0.933333
3,0,3,807127046395.615,1,0.833333
3,0,3,833773431652.142,0.966667,0.433333
3,0,3,552429036390.927,1,0.833333
3,0,3,623945624312.508,0.933333,0.933333
3,0.2,3,581817860864.485,0.966667,0.866667
3,0.2,3,645784841439.959,1,0.9
3,0.2,3,894323983806.961,0.966667,0.866667
3,0.2,3,631838547885.613,0.966667,0.766667
3,0.2,3,803236822279.009,1,0.866667
3,0.2,3,776909628745.901,0.966667,0.933333
3,0.2,3,609356261969.538,0.966667,0.766667
3,0.2,3,805338485481.909,0.933333,0.8
3,0.2,3,533264285292.561,1,0.933333
3,0.2,3,526149734500.767,1,0.833333
3,0.2,3,626421630779.154,0.966667,0.833333
3,0.2,3,653058990991.534,0.966667,0.733333
3,0.2,3,402370010844.337,1,0.5
3,0.2,3,496244023909.191,1,0.866667
3,0.2,3,636364964566.3,0.966667,0.866667
3,0.2,3,603628907960.31,1,0.6
3,0.2,3,543259516136.845,1,0.866667
3,0.2,3,650730227513.828,1,0.866667
3,0.2,3,582964667116.899,0.966667,0.933333
3,0.2,3,611868919307.12,1,0.933333
3,0.2,3,538035586778.321,1,0.866667
3,0.2,3,335199671656.388,1,0.9
3,0.2,3,624474646073.321,0.966667,0.9
3,0.2,3,672358362717.472,0.966667,0.266667
