Generation, Iteration, Trial, Fitness Value
1,4,17,2.49353e+06
1,5,17,3.6779e+06
1,2,17,3.84141e+06
1,9,17,2.19097e+06
1,10,17,4.3255e+06
1,1,18,3.2889e+06
1,8,18,3.79271e+06
1,7,18,2.64791e+06
1,6,18,3.9798e+06
1,12,18,1.23227e+06
1,3,18,3.52505e+06
1,5,18,4.21241e+06
1,11,18,3.18019e+06
1,4,18,2.85676e+06
1,2,18,2.06781e+06
1,9,18,2.43615e+06
1,10,18,2.29902e+06
1,1,19,4.96933e+06
1,8,19,4.56665e+06
1,7,19,3.49708e+06
1,12,19,3.89127e+06
1,6,19,2.19057e+06
1,11,19,4.64804e+06
1,3,19,2.76751e+06
1,5,19,3.75329e+06
1,2,19,3.71389e+06
1,4,19,2.78158e+06
1,9,19,2.95288e+06
1,10,19,4.30111e+06
1,1,20,2.13004e+06
1,8,20,2.46583e+06
1,7,20,4.14136e+06
1,12,20,3.88395e+06
1,6,20,2.63934e+06
1,3,20,3.38435e+06
1,11,20,2.80929e+06
1,2,20,4.01063e+06
1,5,20,3.76854e+06
1,4,20,2.78045e+06
1,9,20,2.37536e+06
1,10,20,2.58676e+06
1,1,21,3.95492e+06
1,8,21,2.64743e+06
1,7,21,1.93487e+06
1,12,21,2.5697e+06
1,6,21,3.0914e+06
1,3,21,1.48774e+06
1,11,21,2.01546e+06
1,5,21,2.10826e+06
1,4,21,4.06047e+06
1,9,21,4.45123e+06
1,2,21,2.02336e+06
1,10,21,2.40252e+06
1,1,22,4.1734e+06
1,8,22,3.36136e+06
1,7,22,2.97452e+06
1,12,22,2.78163e+06
1,6,22,2.39629e+06
1,3,22,2.52279e+06
1,11,22,3.24881e+06
1,2,22,3.36819e+06
1,9,22,3.69985e+06
1,4,22,2.09103e+06
1,5,22,1.9155e+06
1,10,22,3.68535e+06
1,1,23,3.91269e+06
1,8,23,2.47231e+06
1,7,23,2.59522e+06
1,12,23,3.37093e+06
1,3,23,3.30437e+06
1,11,23,2.74386e+06
1,9,23,2.96086e+06
1,2,23,3.03593e+06
1,6,23,939802
1,5,23,4.67024e+06
1,4,23,2.51966e+06
1,10,23,2.39045e+06
1,1,24,4.46897e+06
1,8,24,2.25158e+06
1,7,24,3.07626e+06
1,12,24,2.30265e+06
1,3,24,2.78113e+06
1,11,24,2.36573e+06
1,9,24,3.96639e+06
1,6,24,3.84171e+06
1,5,24,3.3103e+06
1,2,24,2.51093e+06
1,4,24,3.34108e+06
1,10,24,2.28348e+06
1,1,25,3.00036e+06
1,8,25,4.36329e+06
1,7,25,3.67383e+06
1,12,25,3.63139e+06
1,3,25,2.73804e+06
1,6,25,3.00658e+06
1,2,25,2.79094e+06
1,9,25,1.8861e+06
1,11,25,1.96084e+06
1,5,25,2.44933e+06
1,4,25,2.48165e+06
1,10,25,3.81469e+06
1,1,26,4.61763e+06
1,8,26,3.48193e+06
1,7,26,4.20594e+06
