mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller --------------------
-----------------------Scenario 1--------------------
-----------------------Noise Scenario 2--------------------
3,0.4,2,12153090055523.76758,0.466667,0.3
3,0.4,2,9701716480390.058594,0.466667,0.366667
3,0.4,2,10616514100476.54883,0.4,0.366667
3,0.4,2,9715119235691.990234,0.5,0.1
3,0.4,2,12479364240435.11914,0.433333,0.3
3,0.4,2,13384918111650.70117,0.4,0.233333
3,0.4,2,12464103370503.85156,0.466667,0.333333
3,0.4,2,14754931543701.83594,0.366667,0.0666667
3,0.4,2,11045419902467.92188,0.4,0.333333
3,0.4,2,11248467902347.08008,0.366667,0.333333
3,0.4,2,11870523716698.19727,0.466667,0.333333
3,0.4,2,10634450501525.94727,0.466667,0.333333
3,0.4,2,9968886525588.210938,0.433333,0.266667
3,0.4,2,12642685619218.93359,0.5,0.166667
3,0.4,2,8441567428375.863281,0.5,0.266667
3,0.4,2,9433178582000.996094,0.533333,0.233333
3,0.4,2,11902849018888.72266,0.433333,0.333333
3,0.4,2,10687339588857.23242,0.466667,0.266667
3,0.4,2,11894237989958.72461,0.466667,0.4
3,0.4,2,8504539500504.103516,0.5,0.333333
3,0.4,2,14452514726004.00781,0.466667,0.133333
3,0.6,2,33562513154807.25781,0.0666667,0
3,0.6,2,19980539529463.90234,0.0666667,0
3,0.6,2,37798173662565.71094,0,0
3,0.6,2,20954057010183.35547,0.1,0
3,0.6,2,40003890593416.39844,0.133333,0
3,0.6,2,16613380047372.19922,0.1,0
3,0.6,2,27783335228398.92969,0,0
3,0.6,2,21740528793332.32422,0.133333,0
3,0.6,2,23022635270307.32031,0.0666667,0
3,0.6,2,16659097693468.84961,0.1,0
3,0.6,2,30331968552390.70312,0.0333333,0
3,0.6,2,35028128984281.94922,0.0333333,0
3,0.6,2,19128282854943.67578,0.0666667,0
3,0.6,2,24671375824200.11719,0.0333333,0
3,0.6,2,34467550982387.34375,0.1,0
3,0.6,2,25848208930949.53906,0,0
3,0.6,2,18760823149055.07812,0.0666667,0
3,0.6,2,24451137131416.30078,0.166667,0
3,0.6,2,24568660910317.15625,0.0333333,0
3,0.6,2,36676656457056.57031,0,0
3,0.6,2,30721247285019.17188,0.0333333,0
3,0.6,2,26115108673918.41016,0,0
3,0.6,2,30123086739341.14062,0.0333333,0
3,0.6,2,28911540569628.30078,0.0666667,0
3,0.6,2,4533370844991.265625,0.0333333,0
3,0.8,2,30069272143799.33203,0.0333333,0
3,0.8,2,31382152982308.99219,0.0333333,0
3,0.8,2,28336912579450.33594,0,0
3,0.8,2,17140445171344.6875,0.0666667,0
3,0.8,2,11963361562764.86914,0.1,0
3,0.8,2,18652573702046.86328,0,0
3,0.8,2,10593311686738.24023,0.0666667,0
3,0.8,2,15189998676329.24805,0.0666667,0
3,0.8,2,8696051458769.206055,0.0333333,0
3,0.8,2,13254626374935.60742,0,0
3,0.8,2,35965105879838.47656,0.0666667,0
3,0.8,2,21094508093630.1875,0,0
