SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,
55.1422,147.308,162.849,12.1275,168.979,17.9867,212.875,60.7032,70.2907,79.9558,64.7843,84.8995,199.683,101.093,102.051,137.809,7.36784,106.076,249.139,19.0534,186.304,188.71,50.7826,93.1432,67.8964,135.152,77.9537,72.5748,117.872,184.827,
55.1323,147.433,162.945,12.2914,169.114,18.1232,212.825,60.7343,70.1729,79.923,64.738,84.9452,199.621,101.097,102.008,137.801,7.53756,106.172,249.192,19.2399,185.999,188.929,50.642,93.453,67.8597,135.492,77.6305,72.6726,118.003,185.188,
55.1203,147.557,163.041,12.4545,169.244,18.2551,212.775,60.7658,70.0515,79.8903,64.6914,84.9922,199.561,101.102,101.966,137.794,7.70717,106.269,249.244,19.4252,185.694,189.147,50.507,93.7646,67.8281,135.836,77.3055,72.7772,118.133,185.544,
55.106,147.682,163.138,12.6191,169.381,18.3936,212.725,60.7969,69.9178,79.8531,64.6423,85.0424,199.502,101.106,101.929,137.787,7.87196,106.363,249.295,19.6083,185.389,189.368,50.377,94.0794,67.8018,136.175,77.1407,72.8253,118.262,185.897,
55.089,147.81,163.235,12.7844,169.515,18.5303,212.674,60.829,69.7833,79.8164,64.5942,85.0922,199.443,101.11,101.892,137.78,8.04164,106.459,249.348,19.7972,185.084,189.587,50.2491,94.4035,67.7798,136.521,76.983,72.8568,118.392,186.256,
55.07,147.934,163.331,12.9486,169.65,18.6675,212.622,60.8613,69.6526,79.7826,64.5481,85.1402,199.382,101.115,101.855,137.773,8.20526,106.552,249.4,19.9814,184.776,189.807,50.126,94.7285,67.764,136.857,76.6467,72.9108,118.52,186.609,
55.0478,148.062,163.425,13.1096,169.783,18.8024,212.571,60.8932,69.5191,79.7487,64.5019,85.1882,199.323,101.119,101.818,137.766,8.37061,106.645,249.452,20.1658,184.467,190.03,50.0096,95.0506,67.754,137.199,76.3127,72.9714,118.648,186.96,
55.0232,148.189,163.52,13.2746,169.918,18.9403,212.522,60.9238,69.3804,79.7141,64.455,85.2368,199.264,101.123,101.781,137.759,8.54127,106.741,249.502,20.3473,184.166,190.247,49.9006,95.3694,67.7496,137.54,75.9793,73.0377,118.779,187.32,
54.9939,148.325,163.619,13.4446,170.058,19.0817,212.473,60.9546,69.2459,79.6806,64.4078,85.2851,199.205,101.128,101.743,137.752,8.70696,106.834,249.554,20.5294,183.859,190.47,49.797,95.6916,67.7505,137.881,75.6402,73.1109,118.907,187.672,
54.9618,148.459,163.712,13.6046,170.194,19.2198,212.421,60.9869,69.1079,79.6435,64.3578,85.3358,199.146,101.132,101.707,137.745,8.87149,106.927,249.603,20.7068,183.548,190.695,49.7002,96.0127,67.7557,138.228,75.3183,73.1856,119.035,188.027,
54.9275,148.589,163.809,13.7725,170.329,19.3574,212.369,61.0195,68.9695,79.6031,64.3021,85.3915,199.085,101.136,101.672,137.738,9.03936,107.021,249.654,20.888,183.242,190.917,49.6059,96.3464,67.7658,138.571,74.99,73.2669,119.163,188.382,
54.8892,148.722,163.902,13.9319,170.467,19.4978,212.318,61.0516,68.836,79.5611,64.2457,85.4471,199.026,101.14,101.634,137.731,9.20876,107.116,249.705,21.0732,182.939,191.136,49.52,96.6694,67.7814,138.915,74.6569,73.3543,119.293,188.743,
54.8492,148.851,163.996,14.0944,170.601,19.6347,212.267,61.0833,68.7119,79.5191,64.1839,85.507,198.968,101.145,101.597,137.724,9.36951,107.207,249.755,21.2535,182.628,191.362,49.4379,96.9993,67.8023,139.251,74.335,73.4442,119.421,189.097,
54.8057,148.981,164.089,14.2558,170.74,19.7775,212.215,61.1157,68.5883,79.4743,64.1211,85.5665,198.908,101.149,101.562,137.717,9.53441,107.299,249.804,21.4312,182.327,191.581,49.3617,97.3277,67.8297,139.596,74.0096,73.5413,119.548,189.45,
54.7602,149.107,164.185,14.4213,170.872,19.9124,212.163,61.1483,68.4664,79.4266,64.056,85.6269,198.847,101.153,101.525,137.709,9.69404,107.389,249.857,21.6231,182.027,191.798,49.2896,97.6645,67.8621,139.936,73.6888,73.6434,119.678,189.807,
54.71,149.237,164.279,14.5847,171.007,20.0513,212.111,61.181,68.3514,79.3783,63.9839,85.6922,198.789,101.158,101.488,137.702,9.86239,107.484,249.908,21.8087,181.716,192.023,49.2245,97.9947,67.9003,140.281,73.3664,73.7524,119.809,190.168,
54.6576,149.363,164.374,14.7497,171.146,20.193,212.058,61.214,68.2017,79.3733,63.908,85.7588,198.729,101.162,101.452,137.695,10.0281,107.577,249.959,21.9915,181.411,192.242,49.1653,98.3263,67.9422,140.615,73.0916,73.8192,119.935,190.513,
54.6008,149.491,164.47,14.9167,171.28,20.3299,212.009,61.2447,68.0114,79.4283,63.8278,85.827,198.669,101.167,101.416,137.688,10.1996,107.673,250.011,22.1793,181.106,192.461,49.1095,98.6712,67.99,140.954,72.8574,73.8358,120.063,190.867,
54.541,149.618,164.565,15.0819,171.409,20.4614,211.956,61.2778,67.8759,79.4247,63.7491,85.8915,198.61,101.171,101.379,137.68,10.3683,107.768,250.061,22.3611,180.799,192.679,49.0604,99.0063,68.043,141.29,72.7357,73.8441,120.196,191.228,
54.482,149.737,164.664,15.2537,171.542,20.5962,211.905,61.3097,67.7537,79.4236,63.6647,85.9584,198.549,101.176,101.343,137.673,10.533,107.861,250.112,22.5447,180.486,192.902,49.0155,99.3485,68.1028,141.632,72.6081,73.8384,120.325,191.583,
